,FJELLSE_45_,HEMNES_150_,HEMNES_220_31,MALM_125_36,MALM_139_30,NORDLI_189_,TARVA_75_,Nan
100001,1,Nan,,,,NaN,1,Nan
100006,0,Nan,,,1,NaN,,Nan
100049,0,Nan,,1,1,NaN,,Nan
100087,0,4,4.00,,,NaN,,Nan
100089,0,1,1.00,,,NaN,,Nan
100092,0,1,1.00,,,NaN,,Nan
100224,0,Nan,,,18,NaN,,Nan
100349,0,Nan,,,,12,,Nan
100514,0,Nan,,,,NaN,14,Nan
101345,0,Nan,40.00,,8,NaN,,Nan
101350,18,Nan,,,,NaN,26,Nan
101352,0,18,18.00,,,NaN,,Nan
101357,4,Nan,,,,NaN,,Nan
101359,0,12,12.00,12,12,NaN,,Nan
101367,0,Nan,,3,3,NaN,,Nan
101372,0,Nan,,,,12,,Nan
101385,6,Nan,,,,NaN,,Nan
102267,0,4,4.00,4,4,NaN,4,Nan
102335,0,4,4.00,,,NaN,,Nan
104875,0,4,4.00,,,NaN,,Nan
105163,0,4,4.00,4,4,NaN,4,Nan
105307,0,Nan,,,,NaN,16,Nan
105330,0,Nan,,,,NaN,14,Nan
106569,8,Nan,,,,NaN,,Nan
109041,0,Nan,20.00,,,NaN,,Nan
110519,0,Nan,,,,12,,Nan
110630,0,Nan,22.00,,16,NaN,,Nan
110789,0,16,16.00,16,16,NaN,,Nan
_111401,0,Nan,,,8,NaN,,Nan
_111402,0,Nan,10.00,,,NaN,,Nan
_111451,0,4,4.00,,,NaN,,Nan
_113453,0,Nan,,1,1,NaN,,Nan
_114254,0,Nan,,3,3,NaN,,Nan
_114334,0,Nan,,3,3,NaN,,Nan
_114670,0,Nan,,8,8,NaN,,Nan
_117228,0,2,2.00,,,NaN,2,Nan
*117327,0,5,5.00,5,5,NaN,5,Nan
*119030,0,Nan,,,,12,,Nan
*121214,4,Nan,,,,NaN,,Nan
*122628,0,Nan,,4,4,NaN,,Nan
122998,0,Nan,,3,3,NaN,,Nan
123491,0,Nan,,8,8,NaN,,Nan
123492,0,Nan,,,16,NaN,,Nan
123502,0,Nan,,,16,NaN,,Nan
128780,0,Nan,,,,NaN,8,Nan
139163,0,Nan,,,,3,,Nan
139164,0,Nan,,,,3,,Nan
139251,0,Nan,,,,12,,Nan
113434/122332,0,8,8.00,,,,,Nan
118331/112996,0,8,30.00,,,12,,Nan
